City,Place,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21
Rajkot,"Asokan Rock Edict, Jungadh",6176,168,10498,16
Rajkot,"Buddhish Caves, Junagadh",18755,796,58,0
Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",5858,142,1691,1
Total,Total,30789,1106,12247,17
Vadodara,"Champaner Monuments, Pavagadh",59402,1948,39014,81
Vadodara,"Sun temple, Modhera",208028,3732,85407,103
Vadodara,"Rani Ki-Vav, Patan",337134,3816,96900,143
Vadodara,"Rudabai Step Well, Adalaj",388042,7907,86840,204
Total,Total,992606,17403,308161,531
Bhubaneswar,"Sun Temple, Konark",1997427,5294,530886,142
Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,311115,2489,73727,57
Bhubaneswar,Rajarani Temple,16916,506,8237,3
Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,34562,571,20616,20
Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,44573,389,18359,8
Total,Total,2404593,9249,651825,230
Aurangabad,Ajanta Caves,273344,15899,47554,82
Aurangabad,Ellora Caves,1259261,21426,163313,159
Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),1111778,9530,203791,100
Aurangabad,Daulatabad Fort,515935,5729,105434,49
Aurangabad,Pandulena Caves,202871,1128,29,0
Aurangabad,Aurangabad Caves,182032,2690,34976,19
Total,Total,3545221,56402,555097,409
Mumbai,Elephanta Caves,686862,37891,82136,281
Mumbai,Buddhist Caves Kanheri,401808,12106,213,0
Mumbai,Shaniwarwada,1128072,8505,160547,87
Mumbai,Aga  Khan Palace Building,219939,9264,18963,55
Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",354946,105,73899,6
Mumbai,"Caves, Temples and inscriptions Karla",219758,2068,51045,21
Mumbai,"Cave Temple & Inscriptions, Bhaja",80319,1872,10976,24
Mumbai,Raigad Fort,218338,82,76438,0
Mumbai,"Kolaba Fort, Alibag",112405,112,50421,12
Mumbai,"Old Fort, Sholapur",62238,45,11293,1
Mumbai,"Janjira Fort, Murd",253315,151,149221,7
Mumbai,Kondiote Caves,41490,591,167,0
Mumbai,Lohgad Fort,161651,579,31042,21
Total,Total,3941141,73371,716361,515
Nagpur,Gawilgarh Fort,43795,11,5,0
Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",1596,65,8,0
Total,Total,45391,76,13,0
Chandigarh,Suraj Kund,91447,72,11132,14
Chandigarh,Sheikh Chilli's Tomb,39763,46,30292,75
Total,Total,131210,118,41424,89
Delhi,Khan-I-Khana,1782,45,3002,10
Delhi,Sultanghari Tomb,530,6,22969,233
Delhi,Tughluqabad,76135,908,12856,109
Delhi,Red Fort,2200044,91364,187380,1438
Delhi,Humayun Tomb,658318,202288,243836,2381
Delhi,Qutub Minar,2048146,255318,476063,2849
Delhi,Hauzkhas,145544,2625,39837,148
Delhi,Jantar Mantar,203197,6516,76108,230
Delhi,Safdarjung Tomb,72938,15977,56776,392
Delhi,Kotla Feroz Shah,89397,810,27763,106
Delhi,Purana Qila,662300,5493,200846,936
Total,Total,6158331,581350,1347436,8832
Guwahati,Ahom Raja's Palace,44700,175,25443,69
Guwahati,"Kareghar of Ahom Kings, Sibasagar",119912,577,54595,93
Guwahati,"Ranghar Pavillion, Jaisagar",69063,546,33939,75
Guwahati,Bishnudol,21062,118,2921,0
Guwahati,"Group of four MaidansCharaideo, Sibasagar",23111,141,19866,72
Total,Total,277848,1557,136764,309
Goa,Upper Fort Aguada,837898,8104,379726,340
Total,Total,837898,8104,379726,340
Hyderabad,Charminar,1151933,7803,297548,182
Hyderabad,Golconda,1630419,20572,527096,912
Hyderabad,Warangal,92690,277,64339,54
Total,Total,2875042,28652,888983,1148
Jaipur,Ancient Site Bhangarh,190833,1893,53946,85
Jaipur,Baori at Abhaneri,66821,85732,44284,115
Jaipur,Deeg Bhawan,28510,1067,12772,30
Total,Total,286164,88692,111002,230
Jodhpur,Chittaurgarh Fort,565133,15188,223328,206
Jodhpur,Kumbhalgarh Fort,495276,11208,203050,208
Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,241299,98,131764,141
Total,Total,1301708,26494,558142,555
Leh,Ancient Palace Leh,56639,5671,2047,6
Total,Total,56639,5671,2047,6
Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",109962,207,25834,25876
Patna,"Ancient site of Vaishali, Kolhua",89631,12962,49207,49213
Patna,Excavated Remains at Nalanda,437506,26903,105748,105816
Patna,Ancient Site of Vikramshila Antichak,65573,436,27583,27583
Patna,Sher Shah's Tomb,208177,153,95051,95133
Total,Total,910849,40661,303423,303621
Raipur,Temple of Laxman and Old sites including sculptures sirpur,63759,96,44742,44746
Total,Total,63759,96,44742,44746
Shimla,"Ruined Fort, kangra",91306,1758,100454,252
Shimla,Rock-cut Temples and Sculptures,73439,1709,53123,209
Total,Total,164745,3467,153577,461
Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",6610,0,2129,0
Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",9939,32,5706,8
Srinagar,"Group of Temples at kiramchi, District Udhampur",5731,4,5816,0
Total,Total,22280,36,13651,8
Amaravati,Amaravati mahastupa,8038,285,1864,0
Amaravati,Undavalli caves,109307,494,52924,89
Amaravati,Nagarjuna Kunda,19762,35,0,0
Amaravati,Chandragiri Monument,103489,109,51113,38
Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",22353,85,10219,10
Total,Total,262949,1008,116120,137
Grand Total,Grand Total,43607075,2756561,13153076,415859
